name:, endo.mpi8.out 
nel:,              86 
nbasis:,          420 
nfragment:,         2 
HFType:, RHF 

E(HF):,         -570.17746 
E(Ref):,        -570.17746 
E(CCSD):,       -572.32448 
E(CCSD(T)):,    -572.43223 
E(CORR):,       -2.14702 
E(Triples):,    -0.10776 

E(HF)_1:,       -192.35466 
E(HF)_2:,       -377.06253 

ElStat_2_1:,    -0.55525 
Exchange_2_1:,  -0.20502 

IntraSP_1:,     -0.80266 
IntraTrip_1:,   -0.03691 
IntraWP_1:,     -0.00066 
IntraSing_1:,   0.00000 
IntraSP_2:,     -1.26127 
IntraTrip_2:,   -0.05581 
IntraWP_2:,     -0.00121 
IntraSing_2:,   -0.00000 

TotalInt_1_2:,  -0.85653 
DispSP_2_1:,    -0.02966 
DispWP_2_1:,    -0.00107 
SumDisp:,       -0.03073 

DispTrip_2_1:,  -0.00557 

NonDispSP:,     -2.11442 
NonDispWP:,     -0.00187 
NonDispSum:,    -2.11629 

NonDispTrip_2_1:, -0.00947 

BINDING ENERGIES 

Approach ONE 

GeoPrep_1:,          13.40991 
GeoPrep_2:,          8.01998 

ElPrep_1:,           296.86135 
ElPrep_2:,           183.61209 

ElStat_2_1:,         -348.42518 

Exchange_2_1:,       -128.65306 
HFint:;              3.39520 

NonDisp_int:,        5.37386 
Disp_int:,           -19.28184 

Triples_int:,        -3.26945 


Total_int:,          7.64715 

SUMMARY 

E(Geo-prep),         21.42989 
E(HF)_int,           3.39520 
E(NonDisp)_int,      5.37386 
E(Disp),             -19.28184 
E(Triples)_int,      -3.26945 
E(tot)_int,          7.64767 


Approach TWO 

GeoPrep_1:,          13.40991 
GeoPrep_2:,          8.01998 

RefPrep_1:,          296.86135 
RefPrep_2:,          183.61209 
Sum:,                480.47344 

CorrPrep_1:,         19.66179 
CorrPrep_2:,         23.56141 
Sum:,                43.22320 

ElStat_2_1:,         -348.42518 

Exchange_2_1:,       -128.65306 


DispInt_2_1:,   -22.77429 

NonDispInt_2_1:, -37.62633 


Total_int:,          7.64715 

SUMMARY 

E(Geo-prep),         21.42989 
E(El-prep),          523.69664 
E(ref)_int,          -477.07824 
EDisp_int,           -22.77429 
ENonDisp_int,        -37.62633 
E(tot)_int,          7.64767 


